rank,ticker,avg_return_3m,median_return,std_return,win_rate,sample_count,min_return,max_return,data_start_date,data_end_date
25,GOOG,0.05311434537810365,0.05266528204083443,0.12661823983658074,0.6667770785028155,3019,-0.9464775919914246,0.5232817530632019,2014-03-27,2026-04-06
26,AAPL,0.05055424794418266,0.05142020061612129,0.12465822375205164,0.6852531181217901,4089,-0.5318313241004944,1.3902848958969116,2010-01-04,2026-04-06
27,CRM,0.048572437421159735,0.05040465109050274,0.16195797234200593,0.6163475699558174,4074,-0.9407260417938232,0.6139174103736877,2010-01-04,2026-04-06
28,LOW,0.04540312903462593,0.04910340532660484,0.1344315268336538,0.6262230919765166,4088,-0.45852765440940857,1.086281180381775,2010-01-04,2026-04-06
29,ETN,0.04505513851917956,0.04897915571928024,0.12435560203643795,0.6717221135029354,4088,-0.38699066638946533,0.5073567628860474,2010-01-04,2026-04-06
30,BSX,0.044774653302378474,0.03928018733859062,0.12596304326909824,0.6441342150379623,4083,-0.9989474415779114,0.501968502998352,2010-01-04,2026-04-06
31,COST,0.04466680688093844,0.0465230755507946,0.09290859355638455,0.693212447929429,4081,-0.9613069891929626,0.3111625909805298,2010-01-04,2026-04-06
32,ADBE,0.0435713242232643,0.049879759550094604,0.14315325262145423,0.6515559911786327,4081,-0.9519292116165161,0.5688890218734741,2010-01-04,2026-04-06
33,ORCL,0.04298301741992048,0.028819628059864044,0.13619884635198154,0.6136697697207252,4082,-0.9970460534095764,0.9386907815933228,2010-01-04,2026-04-06
34,DE,0.04220176708245904,0.030086811631917953,0.15134635604573501,0.6228906823184153,4089,-0.6093001961708069,1.549227237701416,2010-01-04,2026-04-06
35,UNH,0.04142890748910527,0.04544000141322613,0.11843604984569496,0.7036764705882353,4080,-0.9498008489608765,0.5019501447677612,2010-01-04,2026-04-06
36,GOOGL,0.04054561456512441,0.0353540051728487,0.11349026389039837,0.6400977995110024,4090,-0.9570501446723938,0.5287244915962219,2010-01-04,2026-04-06
37,APH,0.039850718442439426,0.04754285886883736,0.217293990039743,0.6789013732833957,4005,-0.9867466688156128,2.8433923721313477,2010-01-04,2026-04-06
38,MSFT,0.03896472864292739,0.04126549884676933,0.08895940972123569,0.6749021526418787,4088,-0.27942344546318054,0.4143727421760559,2010-01-04,2026-04-06
39,AXP,0.0371801871119855,0.038574667647480965,0.11811096837640606,0.6651151396374326,4082,-0.9868723154067993,0.4446960687637329,2010-01-04,2026-04-06
40,V,0.03629551062443879,0.039520956575870514,0.09634311394760899,0.7150920245398773,4075,-0.9439833760261536,0.3362165689468384,2010-01-04,2026-04-06
41,GE,0.03421941994798701,0.01622307114303112,0.15524227036193944,0.558349609375,4096,-0.48876839876174927,0.7334837913513184,2010-01-04,2026-04-06
42,ADI,0.033681743803699545,0.03252767026424408,0.12359178562768898,0.6575511209657551,4059,-0.9880597591400146,0.4900887608528137,2010-01-04,2026-04-06
43,BA,0.033665508843328786,0.024992993101477623,0.16249474244448997,0.57838102225483,4089,-0.7126829624176025,0.968424379825592,2010-01-04,2026-04-06
44,SPGI,0.033638750652664175,0.05066293105483055,0.15752742325724037,0.6729750189250567,3963,-0.9980338215827942,0.7238108515739441,2010-01-04,2026-04-06
45,UBER,0.0325161427575761,0.02669120952486992,0.26637342945944464,0.537521815008726,1719,-0.9994474649429321,1.246288776397705,2019-05-10,2026-03-31
46,BLK,0.032319262541744324,0.02986559458076954,0.11879609903340906,0.6191640185773649,4091,-0.3482103645801544,0.6896035671234131,2010-01-04,2026-04-06
47,BRK.B,0.03203255554144971,0.030501358211040497,0.0750679142024873,0.678082191780822,4088,-0.2800941467285156,0.25016123056411743,2010-01-04,2026-04-06
48,WMT,0.03086919201036743,0.028522182255983353,0.08504926399682157,0.6464399314900905,4087,-0.9359835386276245,0.2862025201320648,2010-01-04,2026-04-06
49,JPM,0.030801203066274208,0.04030624404549599,0.14208167083040046,0.6496531219028742,4036,-0.9481889009475708,0.46970683336257935,2010-01-04,2026-04-06
50,PLD,0.030539301123615147,0.03194161504507065,0.10989592835959446,0.6306262230919765,4088,-0.3770795464515686,0.4878735840320587,2010-01-04,2026-04-06
51,LIN,0.03046939579415839,0.026971970684826374,0.22354473812601852,0.6521526418786693,4088,-0.9320959448814392,3.393887996673584,2010-01-04,2026-04-06
52,BAC,0.030338465232816886,0.03144831396639347,0.1612719149372376,0.6012720156555773,4088,-0.4972727298736572,0.9699097275733948,2010-01-04,2026-04-06
53,AMGN,0.029178375269722636,0.02149888500571251,0.09750400467266382,0.5829870447323393,4091,-0.23274047672748566,0.3818226158618927,2010-01-04,2026-04-06
54,BKNG,0.029095315459863515,0.02756583970040083,0.21759237374723248,0.5985,4000,-0.9974765777587891,0.9719604849815369,2010-01-04,2026-04-06
55,WELL,0.028968435007508526,0.04050320014357567,0.11449219135776757,0.6658512720156555,4088,-0.5777297616004944,0.6863335371017456,2010-01-04,2026-04-06
56,QCOM,0.028349072009946064,0.015014384873211384,0.14852773788693574,0.5513926546709391,4057,-0.9555356502532959,0.7452203631401062,2010-01-04,2026-04-06
57,C,0.026350564848201197,0.023771073669195175,0.1578635625000936,0.5740196078431372,4080,-0.9776386618614197,0.6037648320198059,2010-01-04,2026-04-06
58,WFC,0.02573741613677904,0.024697337299585342,0.11780916327445325,0.6046398046398046,4095,-0.4840621054172516,0.5766320824623108,2010-01-04,2026-04-06
59,DIS,0.023837363169539407,0.024028816260397434,0.14009820299836132,0.5703468490473864,4094,-0.49212825298309326,1.345003604888916,2010-01-04,2026-04-06
60,AMAT,0.02068070503211563,0.048927612602710724,0.2406959222026488,0.6143906764631366,3947,-0.9980702996253967,0.7523500919342041,2010-01-04,2026-04-06
61,INTC,0.02029734298351471,0.008000095374882221,0.1483481766716919,0.52490234375,4096,-0.4215945899486542,1.0019402503967285,2010-01-04,2026-04-06
62,SYK,0.019884949240285357,0.028596440330147743,0.13941430898408189,0.6565707133917397,3995,-0.9498437643051147,0.46316206455230713,2010-01-04,2026-04-06
63,ACN,0.017803807026447616,0.03430638089776039,0.15194930162006595,0.6318114874815906,4074,-0.9912737011909485,0.42983898520469666,2010-01-04,2026-04-06
64,NEE,0.017349127730272966,0.03563791885972023,0.14061476900175995,0.6674956478487938,4021,-0.9887771606445312,0.35990312695503235,2010-01-04,2026-04-06
65,MRK,0.01717649603126828,0.016151673160493374,0.08417746394992841,0.586105675146771,4088,-0.2621402442455292,0.31335774064064026,2010-01-04,2026-04-06
66,LMT,0.016477621516958467,0.028311096131801605,0.16431611787238076,0.6219296024309952,3949,-0.9849883317947388,3.6776623725891113,2010-01-04,2026-04-06
67,MDT,0.01596436544049576,0.02544430922716856,0.09025931195676447,0.6086105675146771,4088,-0.35747644305229187,0.2809230089187622,2010-01-04,2026-04-06
68,SCHW,0.015870027087086114,0.030639351345598698,0.21053903708592492,0.6035096642929807,3932,-0.9998993873596191,0.5983297228813171,2010-01-04,2026-04-06
69,PEP,0.01521451822766661,0.017285531386733055,0.06332495910219876,0.6072914117934916,4087,-0.9498010277748108,0.2631579041481018,2010-01-04,2026-04-06
70,ISRG,0.015008965473545195,0.0417352169752121,0.20837660401523317,0.6121024049650892,3867,-0.9998923540115356,0.6015227437019348,2010-01-04,2026-04-06
71,T,0.014448610753394178,0.00748071214184165,0.12910352779895776,0.5309821209894685,4083,-0.6897863149642944,0.9276315569877625,2010-01-04,2026-04-06
72,PGR,0.014285175859556649,0.03045489639043808,0.26673563127475947,0.6308759311584896,3893,-0.9999091625213623,3.5784313678741455,2010-01-04,2026-04-06
73,BX,0.01351854030338164,0.04136965796351433,0.24530344441648091,0.5910962429233144,3886,-0.9980156421661377,0.5763040781021118,2010-01-04,2026-04-06
74,KO,0.013309458273908304,0.013576473575085402,0.08244602703188465,0.5992628992628992,4070,-0.9964263439178467,0.21778488159179688,2010-01-04,2026-04-06
75,PFE,0.01088422491413685,0.011004621163010597,0.10111803302159468,0.5511252446183953,4088,-0.516554057598114,0.8262386322021484,2010-01-04,2026-04-06
76,TMO,0.010732628267736653,0.04275092855095863,0.20684489306960446,0.6504953009906019,3937,-0.9579544067382812,0.37939679622650146,2010-01-04,2026-04-06
77,PM,0.008970216923825125,0.012639028951525688,0.14579973338040453,0.5645933014354066,3971,-0.9704501628875732,0.3664659559726715,2010-01-04,2026-04-06
78,VZ,0.008534562504904149,0.006176961585879326,0.08005998156305354,0.5324040107605772,4089,-0.9969214200973511,0.274634450674057,2010-01-04,2026-04-06
79,NOW,0.007626754692085686,0.06377503275871277,0.3071219269572655,0.6433778857837181,3292,-0.9997908473014832,0.8518518805503845,2012-06-29,2026-04-06
80,DHR,0.007037474248631173,0.02796623297035694,0.19729047864901636,0.6442728442728443,3885,-0.9569499492645264,0.4403163492679596,2010-01-04,2026-04-06
